bag_number,push_button,input_value,output_value
0,0,0.028319671145462966,0.0
0,1,0.12428327649956394,0.12428327649956394
0,1,0.6706244146936303,0.0
0,0,0.6471895115742501,0.0
0,0,0.6153851114812539,0.0
0,0,0.38367755426188344,0.0
0,0,0.997209935789211,0.0
0,0,0.9808353387762301,0.0
0,0,0.6855419844806947,0.0
0,0,0.6504592762678163,0.0
0,1,0.6884467305709401,0.6884467305709401
0,0,0.3889214239791038,0.3889214239791038
0,1,0.13509650502241122,0.0
0,0,0.7214883401940817,0.0
0,1,0.5253543224757259,0.5253543224757259
0,0,0.31024187555895566,0.31024187555895566
0,0,0.4858353588317891,0.4858353588317891
0,0,0.8894878343490003,0.8894878343490003
0,0,0.9340435159562497,0.9340435159562497
1,0,0.450339366649287,0.0
1,0,0.7963242702872942,0.0
1,0,0.23064220899374743,0.0
1,0,0.05202130106440961,0.0
1,0,0.4045518398215282,0.0
1,0,0.19851304450925533,0.0
1,0,0.0907530456191219,0.0
1,0,0.5803323859868507,0.0
1,0,0.2986961328189226,0.0
1,1,0.6719948779563594,0.6719948779563594
1,0,0.1995154439682133,0.1995154439682133
1,0,0.9421131105064978,0.9421131105064978
1,0,0.36511016824482856,0.36511016824482856
1,0,0.10549527957022953,0.10549527957022953
1,1,0.6291081515397092,0.0
1,0,0.9271545530678674,0.0
1,1,0.440377154715784,0.440377154715784
2,0,0.7290151170763094,0.0
2,0,0.9274239286245599,0.0
2,0,0.9679261899246464,0.0
2,0,0.014706304965369288,0.0
2,0,0.8636400902455758,0.0
2,0,0.9811950400663443,0.0
2,0,0.9572101796109636,0.0
2,0,0.1487640122324979,0.0
2,0,0.972628813822955,0.0
2,0,0.8899355557205206,0.0
2,0,0.8223738275430704,0.0
2,0,0.4799879238078322,0.0
2,0,0.23237291963930384,0.0
2,0,0.8018805787183079,0.0
2,1,0.9235301597834695,0.9235301597834695
3,0,0.25886459317093224,0.0
3,0,0.24167571409434496,0.0
3,0,0.8881183206591798,0.0
3,0,0.22586942841732438,0.0
3,1,0.1245547058352835,0.1245547058352835
3,0,0.2883307570075776,0.2883307570075776
3,0,0.5861230648127328,0.5861230648127328
3,1,0.5540905021732678,0.0
3,0,0.8097107759127777,0.0
3,1,0.5604759520061858,0.5604759520061858
3,0,0.2884212144312105,0.2884212144312105
3,0,0.4128963426808927,0.4128963426808927
3,0,0.8181209709709104,0.8181209709709104
3,1,0.6265064624197535,0.0
3,0,0.9590776426974422,0.0
3,1,0.3694044110916809,0.3694044110916809
3,0,0.5526115105212872,0.5526115105212872
3,0,0.5939242016131683,0.5939242016131683
3,0,0.84829120827506,0.84829120827506
3,0,0.14547353818653175,0.14547353818653175
4,0,0.7756911881018284,0.0
4,1,0.308857362719261,0.308857362719261
4,0,0.26983678550080015,0.26983678550080015
4,0,0.8631202041893178,0.8631202041893178
4,0,0.8813071727376899,0.8813071727376899
4,1,0.5107065055436453,0.0
4,0,0.34429573096232524,0.0
4,1,0.9949173481609178,0.9949173481609178
4,0,0.3159435453677002,0.3159435453677002
4,0,0.18271237892656245,0.18271237892656245
4,0,0.8800981213040697,0.8800981213040697
4,0,0.812335398111254,0.812335398111254
4,1,0.6678894055713512,0.0
4,0,0.9584136317779519,0.0
4,1,0.9257145772144187,0.9257145772144187
4,0,0.7482485033017541,0.7482485033017541
4,0,0.8607014095476777,0.8607014095476777
4,0,0.24714674032210748,0.24714674032210748
4,0,0.1412465569010316,0.1412465569010316
5,0,0.7726492012253886,0.0
5,0,0.9782657138401457,0.0
5,1,0.5898700283209505,0.5898700283209505
5,0,0.319681636282665,0.319681636282665
5,0,0.1875077157277849,0.1875077157277849
5,0,0.6725266339168693,0.6725266339168693
5,0,0.19510739845680503,0.19510739845680503
5,1,0.5776878925178592,0.0
5,0,0.6022391763796258,0.0
5,0,0.962423093124381,0.0
5,1,0.07226526552987678,0.07226526552987678
5,0,0.4999728236586185,0.4999728236586185
5,0,0.7440974792826482,0.7440974792826482
5,1,0.1772267404746588,0.0
6,1,0.318017387845798,0.318017387845798
6,0,0.7108798632659449,0.7108798632659449
6,1,0.4603553288673248,0.0
6,0,0.5074698605445271,0.0
6,0,0.7896657324598704,0.0
6,0,0.09274547552338075,0.0
6,0,0.5787585033235025,0.0
6,0,0.19723494729586855,0.0
6,0,0.8081367518135681,0.0
6,1,0.4888460361292599,0.4888460361292599
6,1,0.9886953333678197,0.0
6,1,0.18294332467571872,0.18294332467571872
6,0,0.9630191401242673,0.9630191401242673
6,0,0.800917036608609,0.800917036608609
6,0,0.4812604965752686,0.4812604965752686
6,1,0.8135340641796355,0.0
6,0,0.6028489052411163,0.0
7,0,0.7991963797161148,0.0
7,0,0.3222867247398318,0.0
7,1,0.7966391827460546,0.7966391827460546
7,0,0.22532844187566514,0.22532844187566514
7,0,0.3623079504845691,0.3623079504845691
7,0,0.41744811220437983,0.41744811220437983
7,0,0.5414099836301646,0.5414099836301646
7,0,0.11261366554055718,0.11261366554055718
7,0,0.40694780063930613,0.40694780063930613
7,0,0.0003006901069229073,0.0003006901069229073
7,0,0.744380726347399,0.744380726347399
7,1,0.851875912234257,0.0
7,0,0.13893167912019755,0.0
7,0,0.7037857692667978,0.0
8,0,0.5706847858594991,0.0
8,0,0.09384515343330624,0.0
8,0,0.3913804263046642,0.0
8,0,0.07374101339780592,0.0
8,0,0.4761669632169956,0.0
8,0,0.4285396081429238,0.0
8,0,0.42373744297044735,0.0
8,0,0.5863003535907844,0.0
8,0,0.12269066017607344,0.0
8,0,0.9337689099568427,0.0
8,0,0.684050448075033,0.0
8,0,0.8237813583927717,0.0
8,0,0.8968012322637599,0.0
9,0,0.5644128211205941,0.0
9,1,0.48449894234625035,0.48449894234625035
9,0,0.8988237652484845,0.8988237652484845
9,0,0.08601243606100262,0.08601243606100262
9,0,0.6961544503408927,0.6961544503408927
9,0,0.32798228976460253,0.32798228976460253
9,0,0.17540974998508108,0.17540974998508108
9,0,0.6747986499672789,0.6747986499672789
9,0,0.3628219508629361,0.3628219508629361
9,1,0.32989583249393584,0.0
9,0,0.9436777652291878,0.0
9,0,0.19929834067948615,0.0
9,0,0.512173657837735,0.0
9,0,0.024013200671349266,0.0
9,1,0.16336809113695616,0.16336809113695616
9,0,0.8834187336335619,0.8834187336335619
9,0,0.7892475482526763,0.7892475482526763
9,1,0.5568354900539902,0.0
9,0,0.22245339599136027,0.0
10,1,0.34174265020613526,0.34174265020613526
10,0,0.2389437116912806,0.2389437116912806
10,0,0.8217920027302146,0.8217920027302146
10,0,0.5849826802256783,0.5849826802256783
10,0,0.4765884217057704,0.4765884217057704
10,1,0.25615002142789234,0.0
10,0,0.07265834864832099,0.0
10,0,0.017891420896975263,0.0
10,0,0.5799701805640948,0.0
10,0,0.1911102734600748,0.0
10,0,0.9755329784268204,0.0
10,1,0.10747722838614726,0.10747722838614726
10,0,0.4520887883271084,0.4520887883271084
10,0,0.39465979707096,0.39465979707096
10,1,0.23231147528553098,0.0
10,0,0.7487557250039351,0.0
10,0,0.6437047620803104,0.0
10,0,0.7257576850518699,0.0
11,1,0.6912714794406046,0.6912714794406046
11,0,0.9129741060068781,0.9129741060068781
11,0,0.8228071330945887,0.8228071330945887
11,0,0.17906268758299326,0.17906268758299326
11,1,0.7482242750812449,0.0
11,1,0.0866813231145428,0.0866813231145428
11,0,0.4258562402940216,0.4258562402940216
11,1,0.39675188715342524,0.0
11,0,0.20216809397548463,0.0
11,0,0.9379051086359893,0.0
11,0,0.09477667836116699,0.0
11,0,0.004899414988575601,0.0
11,0,0.32292080366397835,0.0
11,0,0.990744718241222,0.0
11,0,0.2646951283884399,0.0
11,0,0.830694265517731,0.0
12,0,0.5771979489865907,0.0
12,0,0.5358989295791143,0.0
12,0,0.6719028034776905,0.0
12,0,0.76048659866525,0.0
12,0,0.10982788606390892,0.0
12,0,0.6249409616679835,0.0
12,0,0.41395588246519277,0.0
12,0,0.6142014356679537,0.0
12,0,0.6939845431464953,0.0
12,0,0.5854795857606219,0.0
12,0,0.7328860768587152,0.0
12,0,0.520025257204648,0.0
12,0,0.4628678091292717,0.0
12,0,0.2867688654485352,0.0
12,1,0.22915166999670655,0.22915166999670655
13,0,0.7116205788809175,0.0
13,0,0.8441109682390425,0.0
13,1,0.677798778095959,0.677798778095959
13,0,0.3688215166959502,0.3688215166959502
13,0,0.5757220912190522,0.5757220912190522
13,0,0.5634124736739899,0.5634124736739899
13,0,0.9365660834742939,0.9365660834742939
13,0,0.3876742119556893,0.3876742119556893
13,0,0.1647826520660035,0.1647826520660035
13,0,0.8769328933290108,0.8769328933290108
13,1,0.8947284968868684,0.0
14,1,0.5510449957933047,0.5510449957933047
14,0,0.19181714813525463,0.19181714813525463
14,0,0.06742372048426959,0.06742372048426959
14,0,0.7732645980412682,0.7732645980412682
14,1,0.8212266060779224,0.0
14,1,0.3983355510982354,0.3983355510982354
14,0,0.2940763601682844,0.2940763601682844
14,0,0.2771208894369578,0.2771208894369578
14,0,0.36097142582835084,0.36097142582835084
14,1,0.5769076431162621,0.0
15,0,0.5457488790192866,0.0
15,0,0.6123417390018507,0.0
15,0,0.6107984389218087,0.0
15,0,0.3828380088978549,0.0
15,0,0.5657739072162552,0.0
15,0,0.9857696351964191,0.0
15,0,0.42802451904395167,0.0
15,0,0.8430147145899906,0.0
15,0,0.08132369130695694,0.0
15,0,0.8752282537019719,0.0
16,0,0.773556228309299,0.0
16,1,0.5009379569884868,0.5009379569884868
16,0,0.18335624310512755,0.18335624310512755
16,1,0.2959268470094133,0.0
16,0,0.5744107688028172,0.0
16,0,0.14300208426428052,0.0
16,0,0.013737858616478582,0.0
16,0,0.43389122434993144,0.0
16,0,0.7621971718592196,0.0
16,0,0.614157273742888,0.0
16,0,0.32414637580737604,0.0
16,0,0.7172409392954933,0.0
16,0,0.4845146331098733,0.0
16,0,0.9995013522570269,0.0
17,0,0.406612845033848,0.0
17,0,0.3065072175307022,0.0
17,0,0.23137257265474553,0.0
17,1,0.6507663347633983,0.6507663347633983
17,1,0.2646860018226955,0.0
17,0,0.8622755206430474,0.0
17,0,0.2706483956521083,0.0
17,1,0.6733596312251477,0.6733596312251477
17,0,0.5681841419017319,0.5681841419017319
17,0,0.6284587978789083,0.6284587978789083
17,0,0.8954167756318381,0.8954167756318381
17,0,0.16998845146941277,0.16998845146941277
17,0,0.1498155458754621,0.1498155458754621
17,0,0.12190222133530626,0.12190222133530626
17,1,0.07643902091821697,0.0
17,0,0.5342310236037406,0.0
17,0,0.16573115195227217,0.0
17,0,0.8071679300934899,0.0
17,0,0.022610530546880114,0.0
17,0,0.3746069717348577,0.0
18,0,0.5885342519393526,0.0
18,0,0.1305730582345579,0.0
18,0,0.08374032389677899,0.0
18,0,0.3230536931058179,0.0
18,0,0.9275588094659627,0.0
18,0,0.4726175288334824,0.0
18,0,0.8954739071476481,0.0
18,0,0.4596749532770249,0.0
18,0,0.755118106560127,0.0
18,0,0.48512717568964037,0.0
18,1,0.7087022614323838,0.7087022614323838
18,0,0.3171792766671796,0.3171792766671796
18,0,0.8898652636367038,0.8898652636367038
18,0,0.26570806873658315,0.26570806873658315
19,1,0.377463431532434,0.377463431532434
19,0,0.7084994832867091,0.7084994832867091
19,0,0.23092209537827701,0.23092209537827701
19,0,0.14382527227092345,0.14382527227092345
19,0,0.7488998444884865,0.7488998444884865
19,0,0.6687281297620549,0.6687281297620549
19,1,0.4293706932947625,0.0
19,0,0.13676728481771305,0.0
19,1,0.6636837393289772,0.6636837393289772
19,1,0.7499557499262143,0.0
19,0,0.16394265320782597,0.0
19,0,0.6893017369301842,0.0
19,1,0.3556370863817859,0.3556370863817859
19,0,0.915118614889683,0.915118614889683
19,0,0.7515396876083913,0.7515396876083913
20,0,0.24734122040485584,0.0
20,1,0.8063603195749761,0.8063603195749761
20,1,0.451047464466092,0.0
20,0,0.8768177365996089,0.0
20,0,0.601664104232256,0.0
20,0,0.789544646958382,0.0
20,0,0.18740327292912107,0.0
20,0,0.31622186767646676,0.0
20,0,0.3767060518006826,0.0
20,1,0.4941992058820347,0.4941992058820347
21,0,0.12987352477313463,0.0
21,0,0.36608030867065855,0.0
21,1,0.3809014070809107,0.3809014070809107
21,0,0.24357250030214583,0.24357250030214583
21,0,0.2943637575238798,0.2943637575238798
21,1,0.419918831202575,0.0
21,1,0.9622613949147543,0.9622613949147543
21,0,0.458860568981583,0.458860568981583
21,0,0.9501350121123174,0.9501350121123174
21,0,0.03053207158355553,0.03053207158355553
21,1,0.0661102585732195,0.0
21,0,0.027815906197269258,0.0
21,0,0.6659446382623543,0.0
22,0,0.4354401753206102,0.0
22,0,0.9827639451941653,0.0
22,0,0.4287271374848053,0.0
22,0,0.8371963489035462,0.0
22,0,0.01454163136101938,0.0
22,0,0.7182212650931682,0.0
22,1,0.39847844278491207,0.39847844278491207
22,1,0.4990093079898348,0.0
22,0,0.19882580036557884,0.0
22,0,0.9295115137269889,0.0
22,0,0.19964501338118745,0.0
22,0,0.5615867040751434,0.0
22,1,0.5973456235768031,0.5973456235768031
22,0,0.8584434272995116,0.8584434272995116
22,0,0.4666665396856099,0.4666665396856099
